City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Kawalu,ID,-7.3817,108.2082,83.62,70,70,1.86,broken clouds
263,Sorong,ID,-0.8833,131.25,82.45,73,85,2.35,overcast clouds
264,Aksarka,RU,66.5606,67.7975,-3.46,100,81,1.3,broken clouds
265,Isiro,CD,2.7739,27.616,61.81,66,50,1.97,scattered clouds
266,Olinda,BR,-8.0089,-34.8553,82.13,69,40,3.44,scattered clouds
267,Lima,PE,-12.0432,-77.0282,70.39,57,0,1.01,clear sky
268,Manokwari,ID,-0.8667,134.0833,81.01,82,100,8.21,overcast clouds
269,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,85,100,9.22,overcast clouds
270,Hasaki,JP,35.7333,140.8333,45.28,72,100,6.13,overcast clouds
271,Shetpe,KZ,44.1667,52.1167,28.06,76,47,15.48,scattered clouds
272,Tuy Hoa,VN,13.0833,109.3,78.53,74,4,1.66,clear sky
273,Kabare,CD,-2.4683,28.8242,61.45,97,100,2.35,light rain
274,Rafai,CF,4.95,23.9167,64.44,39,29,1.81,scattered clouds
275,Srednekolymsk,RU,67.45,153.6833,-40.11,99,100,5.37,overcast clouds
276,Souillac,MU,-20.5167,57.5167,81.36,89,40,5.75,scattered clouds
277,Corrales,US,35.2378,-106.6067,42.17,53,0,1.01,clear sky
278,Tiksi,RU,71.6872,128.8694,-6.66,96,100,8.32,overcast clouds
279,Druzhba,UA,52.0428,33.9453,-0.29,100,100,3.02,overcast clouds
280,Fairbanks,US,64.8378,-147.7164,18.3,86,100,0.63,overcast clouds
281,Port Angeles,US,48.1181,-123.4307,44.29,97,0,3.44,clear sky
282,Sitka,US,57.0531,-135.33,41.72,97,100,5.57,moderate rain
283,Lastoursville,GA,-0.8143,12.7287,73.78,78,100,1.99,overcast clouds
284,Simao,CN,22.7886,100.9748,59.97,52,1,3.13,clear sky
285,Kargil,IN,34.5667,76.1,7.34,93,100,1.88,light snow
286,Inuvik,CA,68.3499,-133.7218,2.19,91,100,12.75,overcast clouds
287,Matara,LK,5.9485,80.5353,76.77,78,76,2.62,broken clouds
288,Henties Bay,Namibia,-22.116,14.2845,72.86,85,97,4.32,overcast clouds
289,Berlevag,NO,70.8578,29.0864,33.55,82,88,27.92,overcast clouds
290,Zeya,RU,53.75,127.2667,5.94,70,4,1.3,clear sky
291,Templemore,IE,52.7947,-7.8339,33.37,96,84,4.63,broken clouds
292,Samur,RU,41.8253,48.486,37.44,65,100,3.83,overcast clouds
293,Mazara Del Vallo,IT,37.6641,12.588,44.55,67,0,7.85,clear sky
294,Puerto Suarez,BO,-18.95,-57.8,78.62,64,15,2.73,few clouds
295,Okrika,NG,4.7416,7.0849,77.63,86,6,3.56,clear sky
296,Kralendijk,BQ,12.15,-68.2667,78.85,67,6,20.54,clear sky
297,Salinopolis,BR,-0.6136,-47.3561,78.3,86,99,8.81,overcast clouds
298,Mahebourg,MU,-20.4081,57.7,81.25,75,66,7.58,broken clouds
299,Leningradskiy,RU,69.3833,178.4167,-16.55,92,100,17.36,overcast clouds
300,Sept-Iles,CA,50.2001,-66.3821,6.06,88,75,1.01,broken clouds
301,Nsanje,MW,-16.92,35.262,71.04,97,100,4.32,light rain
302,Severo-Kurilsk,RU,50.6789,156.125,27.48,87,90,12.95,light snow
303,Waingapu,ID,-9.6567,120.2641,87.44,65,62,15.64,broken clouds
304,Kieta,PG,-6.2167,155.6333,86.32,71,52,9.69,light rain
305,Sur,OM,22.5667,59.5289,64.56,59,0,12.33,clear sky
306,Kahului,US,20.8947,-156.47,76.96,75,7,5.99,clear sky
307,Dryden,CA,49.7833,-92.7503,-15.38,100,80,4.36,broken clouds
308,Cidreira,BR,-30.1811,-50.2056,76.82,88,2,16.58,clear sky
309,Lompoc,US,34.6391,-120.4579,59.14,63,5,11.01,clear sky
310,Yangambi,CD,0.8102,24.4336,68.34,70,69,2.21,broken clouds
311,Ridgecrest,US,35.6225,-117.6709,56.64,19,3,4.0,clear sky
312,Yinchuan,CN,38.4681,106.2731,30.54,49,19,0.38,few clouds
313,Marawi,PH,7.9986,124.2928,72.64,77,69,3.67,broken clouds
314,Hami,CN,42.8,93.45,26.58,47,0,2.95,clear sky
315,Lancaster,US,40.2504,-76.2499,23.04,61,100,3.91,overcast clouds
316,Kalabo,ZM,-14.97,22.6814,62.06,92,38,6.76,light rain
317,Big Rapids,US,43.6981,-85.4837,22.75,71,100,4.61,overcast clouds
